card_id,customer_id,card_number,card_type,operation_ammount_actual
293,86,5555-5200-3370-6504,debit,8791.76
294,86,5555-7932-3053-0857,debit,20614.67
295,17,5412-2632-7330-3147,credit,29977.19
296,17,4532-9852-8612-2594,debit,12944.88
297,15,4716-8684-8381-9995,debit,10794.17
298,15,4532-0127-1508-3141,debit,18185.95
299,15,4532-6496-7708-6161,credit,20489.61
300,15,5105-9708-1778-3606,credit,48604.65
301,15,4532-8352-8399-6592,debit,17701.97
302,15,5555-4135-1587-7981,credit,35090.45
303,15,5555-1792-9117-3860,credit,46823.63
304,18,5105-6352-4991-4439,credit,38548.03
305,18,5555-8417-1856-8537,credit,11910.61
306,18,4532-0865-8731-9588,debit,3615.68
307,18,5105-4405-0736-1700,debit,17000.52
308,18,4532-7157-7401-2685,debit,7732.21
309,23,5412-0371-7616-0840,credit,6557.67
310,23,4532-5158-4998-4522,debit,6132.6
311,23,5412-2448-5838-9137,credit,17943.46
312,23,4485-9323-8742-6843,credit,19520.74
313,23,4485-2148-3716-2778,debit,4705.25
314,94,4485-9809-5238-5870,credit,42252.82
315,94,4485-9835-5572-6011,debit,19625.95
316,94,4532-7477-2312-0216,credit,40280.77
317,94,4485-2868-4694-7609,credit,27660.48
318,94,5105-6710-0089-4394,credit,6635.4
319,94,5555-6775-6245-6084,debit,4218.02
320,94,4716-6038-7181-0044,debit,12076.15
321,94,5555-1906-4404-0381,debit,18069.01
322,37,4716-4933-9891-7998,credit,8122.87
323,37,5105-8018-5293-1989,debit,10319.93
324,37,5412-5379-4638-5599,credit,16988.11
325,37,4716-8649-3224-6650,debit,14466.86
326,37,5555-0411-9874-8613,credit,12325.17
327,37,5412-7249-5807-7394,debit,4733.27
328,37,4532-5193-2420-0924,credit,43803.16
329,37,5412-2555-9071-7326,credit,26302.35
330,87,4532-9000-7308-8271,debit,23576.38
331,87,4532-0700-0467-5256,credit,45199.21
332,87,5105-6229-4215-2739,credit,13618.4
333,87,4716-8620-6009-7778,credit,5727.07
334,75,5412-7082-0751-1459,debit,1316.31
335,75,4716-0325-8082-8040,debit,20030.63
336,75,4485-1542-6301-4223,debit,21467.24
337,75,4485-6479-4461-8727,debit,22254.42
338,75,5555-4633-8781-1375,debit,16564.99
339,75,4485-3699-0034-8616,debit,20628.58
340,75,5555-0538-8614-2651,credit,36765.77
341,75,4716-6377-3836-0872,credit,34978.63
342,75,4716-1002-6912-5016,credit,45347.73
343,75,5555-4733-1039-0910,credit,14308.86
344,50,5412-4926-0060-6730,credit,17432.28
345,50,5555-2710-8126-5906,debit,6915.85
346,50,4532-9758-8820-0414,debit,21763.79
347,50,4485-3649-7851-5559,debit,6844.44
348,50,5555-1455-4325-2854,credit,36416.87
349,59,5105-7393-2634-7262,credit,27660.86
350,59,4532-2278-3723-1940,debit,9508.1
351,59,5105-1766-7772-4579,debit,18681.36
352,59,4485-4884-4844-9842,credit,42789.78
353,59,5412-0736-2467-6803,debit,6288.65
354,59,5105-4499-7103-6171,credit,21601.24
355,29,4532-5446-4309-0960,debit,18359.95
356,29,5555-4242-3910-4353,debit,17445.63
357,29,4485-2112-2899-3363,credit,35879.09
358,93,5555-1654-6084-5058,debit,23940.23
359,93,5555-9563-4218-2938,debit,16645.05
360,93,5105-1440-6876-7769,credit,28099.92
361,93,5412-7980-5588-5945,debit,12256.91
362,93,4485-6774-9358-8794,debit,11745.7
363,72,4716-3787-8074-6222,debit,19461.54
364,72,5555-8136-5784-9049,credit,13514.86
365,72,4485-9627-5903-8023,credit,22456.96
366,72,5412-5683-6753-0518,credit,11263.87
367,89,4716-2152-9885-7406,debit,16115.34
368,89,4485-0444-1355-7391,debit,14441.38
369,89,4716-2543-5097-1142,debit,258.54
370,89,5412-5942-4865-9437,debit,24856.72
371,67,4532-1769-9067-6857,credit,49932.11
372,67,4716-9785-4656-0059,credit,42276.89
373,67,4532-2958-7801-4491,credit,38788.95
374,67,5555-4800-2234-3668,credit,34635.36
375,67,5555-9570-7990-9214,debit,10767.8
376,67,5555-9741-3006-1082,credit,32238.86
377,67,4716-4925-3603-3333,debit,22054.42
378,67,5412-6286-1119-5600,debit,15822.37
379,67,5412-1982-9441-1191,credit,8191.93
380,67,5555-3317-0852-3111,debit,20440.34
381,30,4716-8652-9971-5287,credit,21566.58
382,30,5105-5902-7343-6602,debit,7493.66
383,30,4716-6052-2760-9871,credit,12342.25
384,30,4532-9409-1161-7908,debit,5315.16
385,30,4716-9759-7933-9130,credit,22567.02
386,30,4716-7568-1915-5207,debit,1508.59
387,12,5105-0420-8220-7870,debit,21738.22
388,12,5555-8321-9756-2310,credit,3524.93
389,12,4532-7964-6696-4573,credit,36856.97
390,12,5105-0048-5775-4479,debit,16459.28
391,12,5105-2584-6013-1381,debit,19163.58
392,92,4532-0530-9179-4197,credit,12799.43
393,92,4532-7186-2319-6724,debit,19987.72
394,92,4716-5601-9825-4220,debit,9602.6
395,92,5412-9554-2758-3386,credit,19438.26
396,51,4716-1580-4817-8174,credit,47209.93
397,51,4532-2165-6155-0281,credit,3185.29
398,51,4716-3010-7714-3364,credit,29498.2
399,51,4485-2680-0530-8138,debit,13112.07
400,51,5412-0153-2761-5607,debit,4792.06
401,56,5555-4528-2217-7314,credit,27282.36
402,56,5105-4695-4795-0549,credit,37824.34
403,56,4532-7035-7299-5244,credit,13460.28
404,36,4716-4236-2212-5568,debit,7742.52
405,36,5105-7322-5975-2494,credit,45910.27
406,36,5555-6766-4252-8522,debit,3772.91
407,36,5412-9520-9499-7357,credit,30445.87
408,31,5412-0062-1469-3445,debit,1838.06
409,31,5555-5168-9258-5991,credit,19658.55
410,31,5412-1621-3640-3271,credit,31227.97
411,25,5105-4050-2835-0035,debit,20017
412,25,5412-4283-5626-6614,debit,22274.52
413,25,5105-5870-9631-8827,debit,9892.27
414,25,4716-8306-8620-2373,credit,49243.9
415,77,4716-6951-7993-5012,credit,7851.08
416,77,4532-6198-2808-5858,debit,24089.82
417,24,5105-2026-5322-9422,credit,5593.16
418,24,5555-4073-9421-5848,credit,35603.44
419,24,4485-4233-3633-5100,credit,27652.23
420,24,5105-0801-9302-6701,credit,29421.17
421,24,5412-6641-0171-9803,credit,12456.47
422,24,5105-3457-5830-1219,credit,11433.77
423,41,4532-5237-3425-3854,credit,13350.18
424,41,4716-7409-2958-5598,debit,2819.14
425,41,5555-4982-6537-1767,debit,8750.57
426,41,4532-6774-1654-3868,credit,17088.58
427,41,5555-5670-4010-8532,debit,5543.59
428,41,4485-5465-6494-1306,debit,10174.25
429,41,4532-7651-3014-7973,credit,24618.18
430,41,5412-5190-1652-4231,credit,12383.69
431,54,5412-1145-3994-5640,credit,27808.27
432,54,5412-8686-8172-4811,credit,35150.1
433,54,4485-2986-1107-7792,credit,22246.21
434,54,5555-9550-0242-9722,credit,43969.97
435,33,4485-1790-5395-8667,debit,4404.27
436,33,5105-4463-3518-6614,debit,2661.82
437,33,5555-2211-6577-7959,credit,28611.16
438,33,5555-8110-8298-4555,credit,15207.99
439,33,4716-1224-1239-5738,credit,20152.11
440,10,4485-6201-3503-5811,credit,43373.6
441,10,5412-7865-4544-6107,debit,4816.15
442,10,4532-4883-5289-5702,credit,32771.74
443,52,5105-4389-6100-0276,credit,33880.5
444,52,4485-2202-6928-2845,debit,9179.97
445,16,5555-0549-3725-6123,debit,5176.99
446,16,4716-2860-3736-8269,credit,44446.64
447,16,5555-3031-8689-7206,credit,31911.9
448,16,4716-6746-8059-9693,debit,19769.51
449,73,4485-4983-0049-8822,credit,32752.34
450,73,5555-2165-3388-5219,credit,31084.66
451,73,4485-0015-0626-5041,debit,14812.83
452,73,5105-4935-9475-7053,credit,36066.9
453,73,5105-0114-6252-4042,credit,3178.9
454,73,4532-1298-4786-4977,debit,15301.64
455,39,5105-7097-9719-0044,credit,18648.3
456,39,4485-2575-0206-7351,credit,8791.11
457,39,4532-0902-6110-6464,debit,20161.96
458,39,4532-6339-1133-1049,debit,17419.7
459,34,5555-0350-5808-9771,credit,40019.04
460,34,4485-9128-1199-3740,debit,9098.05
461,34,5412-2848-0607-4967,credit,8967.19
462,34,4716-9488-6478-3561,debit,2630.03
463,34,4716-2262-1589-2185,credit,13373.22
464,34,5555-8181-9160-7788,credit,1690.09
465,34,5105-5745-2894-5375,credit,20742.73
466,34,5555-9215-0938-8397,credit,33210.84
467,42,4532-1776-9833-1812,debit,810.37
468,42,4485-2905-3087-0837,debit,4221.52
469,42,4485-3076-6887-0046,debit,15828.2
470,42,5555-0434-7729-4823,debit,23929.36
471,42,5555-7224-0885-1665,credit,36530.48
472,42,4716-6961-0939-9644,credit,4022.45
473,83,5105-0725-4281-1599,debit,15381.32
474,83,5105-6983-7457-7370,credit,30257.12
475,83,5412-8985-0433-0862,debit,22605.9
476,83,5105-0050-9094-5091,debit,23386.17
477,20,4532-0583-3467-8708,debit,22180.07
478,20,5412-4474-2135-0128,credit,41133.95
479,20,5412-5478-8686-4760,debit,2517.22
480,28,4532-1492-5178-1004,credit,27875.74
481,28,4716-5757-0765-6104,debit,7380.58
482,28,4485-3759-2489-7584,credit,40145.08
483,76,4532-3514-0557-2197,credit,49703.48
484,76,4716-0711-3214-3676,credit,3667.21
485,76,4716-8308-5014-6213,debit,21393.1
486,76,4716-4213-9770-2786,credit,30093.42
487,76,4532-6084-0987-6876,credit,36849.17
488,76,4485-4615-8266-5248,debit,5747.88
489,76,4485-3342-2898-6455,debit,1003.73
490,76,4532-5548-6278-9869,debit,344.49
491,66,4485-6329-5740-8593,credit,12650.59
492,66,5105-5499-6062-7441,credit,17647.53
493,66,5412-7508-6136-2796,credit,19926.71
494,66,4716-7234-4087-3297,credit,35518.99
495,58,4485-4007-6248-4148,debit,8463.17
496,58,4532-0923-6152-7891,credit,28016.64
497,58,5105-9800-0015-6787,credit,49697.93
498,58,5105-3979-6296-9329,credit,22739.41
499,58,5412-7198-5000-3992,credit,20901.91
500,58,5412-7576-1717-5245,credit,35060.76
501,71,5555-7292-5034-0723,debit,16932.74
502,71,5105-6190-8680-7773,debit,13222.38
503,71,5555-9004-1505-8083,debit,16389.72
504,69,4716-6479-4092-2031,debit,11049.46
505,69,4485-4409-9590-2473,credit,31357.59
506,69,5555-7832-1256-4079,debit,18032.97
507,69,5412-6186-8675-1022,debit,8518.51
508,69,5105-6796-2916-2703,credit,16255.4
509,79,5412-8406-4233-5617,debit,19114.85
510,79,4532-3649-1580-3869,credit,10422.44
511,79,5105-1825-9476-8204,debit,11506.55
512,79,4485-2625-1674-4860,credit,20699.13
513,79,4532-1343-4977-8574,debit,11182.23
514,79,5105-1346-5809-9732,debit,19645.34
515,2,4716-8702-0141-6293,credit,39180.21
516,2,5412-8446-0310-7292,credit,5724.1
517,2,5555-2400-9118-9585,debit,19567.86
518,2,5105-5632-9450-4576,credit,34875.87
519,2,5105-1329-2424-8894,debit,12125.73
520,2,4485-3298-6803-8654,debit,7692.37
521,2,4716-9409-4305-1745,debit,10749.5
522,2,5555-5157-0230-4345,debit,21885.44
523,2,5412-1698-4719-1525,credit,8501.64
524,2,4716-5496-7705-2898,credit,26771.99
525,21,4485-3574-1194-5560,credit,7842.72
526,21,5105-8500-0720-9225,credit,10042.54
527,21,4532-3509-3360-3820,credit,33877.09
528,21,5555-0786-5855-1716,debit,5236.02
529,21,5105-8344-7229-6316,credit,48241.32
530,21,5412-1235-3795-2496,debit,14084.05
531,7,4716-5883-5190-7603,debit,3639.73
532,7,5412-2343-4596-1148,credit,26714.57
533,7,4532-1964-4410-3323,debit,10948.4
534,7,4532-7559-0613-6425,credit,9414.03
535,68,4716-8842-8065-7576,debit,10025.34
536,68,5412-7340-9690-2632,credit,36466.89
537,68,5555-7436-0275-4957,credit,982.88
538,68,4532-6328-3300-7000,debit,11675.46
539,68,5105-5346-4265-0552,credit,36494.87
540,68,5555-3637-2821-9359,debit,18421.07
541,68,5412-5299-5093-2030,debit,5723.84
542,68,4716-6575-8384-0150,debit,17978.53
543,68,5555-9535-4819-4664,debit,24530.34
544,68,5105-7862-0330-6233,debit,11437.57
545,68,4532-9628-2745-9952,debit,17301.86
546,68,4532-5333-3884-7761,credit,33873.45
547,74,4532-8981-0206-6037,credit,14845.35
548,74,5555-6569-4028-9107,debit,15100.42
549,74,5412-2450-5448-2969,debit,3610.94
550,74,5412-1286-6628-8858,debit,14586.69
551,27,5555-2174-1596-4759,debit,6294.45
552,27,5105-6624-7723-1757,credit,1472.48
553,27,5105-6486-3186-0203,credit,31017.6
554,27,4532-0682-3084-4394,debit,21863.83
555,27,5105-5636-9554-9831,credit,39542.3
556,27,5555-3419-7539-6942,debit,4186.55
557,27,4485-1554-2039-1875,credit,12015.76
558,90,4532-7422-4276-6972,credit,9152.02
559,90,5412-1484-5350-2499,credit,36742.99
560,90,5412-5749-3527-9296,credit,9199.73
561,90,5412-5014-3383-3696,debit,2542.46
562,90,5105-5335-4232-3292,credit,11106.92
563,90,4532-8718-4481-8750,debit,2618.66
564,1,4716-2539-4131-7918,debit,7658.37
565,1,5412-9288-3951-7857,debit,19769.32
566,1,5555-4004-9863-3056,debit,3031.77
567,1,4485-5532-6299-2081,credit,43115.17
568,1,5412-7753-6558-7633,credit,27510.42
569,44,4532-6516-0954-7385,credit,22745.56
570,44,4532-6134-4741-6421,credit,38731.09
571,44,4716-4182-4744-7179,credit,17129.77
572,53,4716-7710-0382-3494,credit,2345.02
573,53,5555-5648-3556-3406,debit,24900.3
574,99,4532-5416-3701-6096,debit,11824.43
575,99,5555-6886-5452-5639,credit,22913.53
576,99,4485-5578-3528-9359,debit,7799.4
577,99,5555-8247-2683-2991,credit,34508.07
578,99,5412-6343-4793-0574,debit,16763.22
579,99,4532-2713-9557-8011,credit,14735.73
580,99,4716-4630-8658-7393,debit,10062.17
581,98,5105-8729-5022-7084,credit,7242.51
582,98,5412-0915-0278-2220,debit,2737.92
583,98,5412-0583-8668-8202,credit,47498.16
584,43,5105-7051-2534-2031,credit,17172.97
585,43,5105-0547-7017-8758,credit,45865.65
586,43,5412-6509-2034-9379,debit,2357.81
587,43,4716-9346-0679-3838,credit,1053.2
588,43,4485-5731-1224-3352,credit,38918.69
589,19,4716-9553-0985-3138,credit,40296.81
590,19,4532-8456-5609-6235,debit,22257.64
591,19,4532-1986-6375-3481,debit,8980.24
592,84,4532-3357-7204-4332,credit,4377.76
593,84,5412-6514-3381-4729,debit,2187.69
594,84,5412-7044-9899-7774,debit,9739.14
595,84,4485-7857-2602-8806,debit,7207.88
596,84,5105-1224-4514-8234,credit,29333.85
597,38,4716-5112-0287-1679,debit,5112.41
598,38,5555-9855-4886-8573,debit,10069.04
599,38,5105-2052-7158-2330,credit,17499.55
600,38,4485-2992-3954-2308,credit,4734.65
